station_id,fclass,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
507661386,railway_station,road,True,ok,33.661362974567794,15411,258046.11,663150.03,258015.1282688936,663163.1912953374
1662148585,railway_station,road,True,ok,23.12558526414369,9070,261231.82,663239.59,261245.23395978304,663220.7523149843
1746972567,railway_station,road,True,ok,42.71524747389846,41247,250049.84,664355.47,250075.22741488388,664321.1178307487
2979083135,railway_station,road,True,ok,26.95371432950206,13862,264922.0,662199.09,264936.4818703997,662221.8227549118
3049056215,railway_station,road,True,ok,20.80322523738673,58585,261010.88,670124.71,261024.7963118277,670109.2468035195
3068279620,railway_station,road,True,ok,39.81602915425124,22962,268227.91,665009.52,268229.14794041123,664969.7232202163
3727609000,railway_station,road,True,ok,47.24910035993225,44675,261706.64,665615.78,261747.24465840662,665591.6193046353
3727609001,railway_station,road,True,ok,32.63866844518111,24615,272283.24,665619.02,272265.9828280864,665591.316702445
3727609007,railway_station,road,True,ok,41.58879907102782,11547,255927.91,661311.61,255922.07237870456,661352.7870614029
3735864350,railway_station,road,True,ok,43.79910395856669,42967,259884.09,665135.17,259901.20528903443,665175.486601901
3844585991,railway_station,road,True,ok,43.4996294633928,47665,255640.68,666519.42,255636.11946574852,666476.1600960381
4016197294,railway_station,road,True,ok,16.921180918200513,3166,258230.25,656423.98,258218.4954666541,656436.1519887235
4293903976,railway_station,road,True,ok,19.216550347746324,59167,254129.58,670444.42,254114.22897421717,670432.8605097568
4293903981,railway_station,road,True,ok,19.6537247657862,59407,252367.98,670501.37,252370.12851802498,670481.8340647148
4293930821,railway_station,road,True,ok,64.74985983065618,50887,255375.64,667586.07,255310.92328040698,667583.9986349414
4293930822,railway_station,road,True,ok,18.71272712043774,52401,254678.58,667927.27,254687.38696302104,667943.7807104217
4293930829,railway_station,road,True,ok,24.749998820914698,53376,254919.62,668727.61,254906.42063646857,668748.5465528204
4293930830,railway_station,road,True,ok,23.19794928806382,54616,252224.99,668591.28,252218.80941219346,668568.9205459473
4293930831,railway_station,road,True,ok,36.89051215813843,55002,250845.31,669164.6,250835.45449849695,669200.1496691604
4293930832,railway_station,road,True,ok,28.601640520406278,57505,249790.84,670134.45,249783.68591472303,670106.7575298265
4293930833,railway_station,road,True,ok,17.170775854356904,54525,252927.26,668283.17,252925.33684532315,668266.1072622499
4293943757,railway_station,road,True,ok,36.07342540247965,50059,260588.51,667695.85,260592.77090272444,667660.0291020737
5149769842,railway_station,road,True,ok,11.58997822459382,3358,257391.67,657475.15,257403.01792547954,657472.7936930256
6099806145,railway_station,road,True,ok,49.00505281600528,42891,258690.91,665089.6,258739.1454304016,665098.2509222324
6100307820,railway_station,road,True,ok,62.689826984763,44511,259152.54,665573.9,259212.53118369798,665555.7046081137
6468337467,railway_station,road,True,ok,46.036766545528685,19236,256451.25,664470.74,256431.49592146542,664512.3231727411
7057902640,railway_station,road,True,ok,34.80604806854634,26290,264066.74,668122.83,264098.63609347754,668108.8980151083
7147294461,railway_station,road,True,ok,23.22743291356784,33463,257621.83,659757.0,257600.75794940256,659766.7715056861
7149922954,railway_station,road,True,ok,23.04150860803686,59755,249707.81,670865.81,249726.42138346157,670879.3940908633
7149943412,railway_station,road,True,ok,17.336740356972822,44790,258059.81,665808.45,258065.00219556413,665824.9909694827
7149950857,railway_station,road,True,ok,38.92243977920999,18453,260805.46,663879.98,260807.24402950672,663918.8615323397
7149976322,railway_station,road,True,ok,32.949294004487015,57675,250978.77,670484.23,250966.3641826519,670514.7546076358
7197562013,railway_station,road,True,ok,39.09172251022609,49679,261042.96,667199.73,261005.4520396176,667188.7156604024
7198943824,railway_station,road,True,ok,61.763396785631116,21262,263642.28,664601.59,263687.3597292402,664559.369919539
7209208674,railway_station,road,True,ok,66.91800486880312,10971,266716.75,664447.72,266775.64824163413,664479.4850201956
7209211339,railway_station,road,True,ok,21.94629958890598,21127,264907.61,664403.15,264909.0581721788,664381.2515328622
7209241887,railway_station,road,True,ok,32.49423066879439,25336,270036.48,667753.11,270035.82941543567,667785.5977171633
7209246552,railway_station,road,True,ok,33.0069059260456,26434,266230.8,668436.31,266233.0598056596,668403.3805433208
7209254484,railway_station,road,True,ok,48.70747192925526,55901,255659.67,669161.62,255637.99821987713,669117.9994570409
7209379991,railway_station,road,True,ok,28.93073992049567,47585,255568.97,666476.06,255590.6957434966,666495.1644440346
7287514085,railway_station,road,True,ok,56.09532014651881,54109,259417.94,668471.18,259473.93343875575,668474.5593133396
7287514086,railway_station,road,True,ok,38.89866974381849,54215,258878.7,668605.34,258859.98763090905,668639.4421077184
7295641225,railway_station,road,True,ok,17.54749434811273,45346,258667.9,666185.62,258685.36356203532,666187.3342225455
8443444417,railway_station,road,True,ok,57.65307814170267,55988,257427.36,669514.93,257378.61505854715,669484.1435078002
10189109401,railway_station,road,True,ok,27.037181910620628,32665,249861.24,659320.34,249851.80875509622,659345.6789191804
10189182795,railway_station,road,True,ok,46.09729489205978,4598,264273.73,660040.43,264246.61852325365,660003.1482561433
10288558,railway_station,walking,True,ok,9.37031411714947,110632,266409.14,660462.38,266417.51702945936,660458.1814092732
22256341,railway_station,walking,True,ok,14.577884078022741,31688,253583.98,664637.5,253590.89784016792,664650.3319208072
26583488,railway_station,walking,True,ok,18.924488502172547,108805,255537.2,674412.03,255551.75853049484,674399.9392822835
26583489,railway_station,walking,True,ok,16.63974385055238,103979,255118.87,672122.94,255135.26883355674,672125.7612290566
26583490,railway_station,walking,True,ok,24.515687268891075,104261,254333.14,671756.58,254317.79206278062,671775.6970014744
26766905,railway_station,walking,True,ok,16.202000661079445,79480,256182.74,666604.24,256198.9055099999,666603.1532102942
26997547,railway_station,walking,True,ok,8.553992582978262,80232,257471.96,666912.95,257465.2216916099,666918.2193442808
26997597,railway_station,walking,True,ok,1.1530671463852693,80579,256615.2,667054.39,256614.0536079594,667054.513891619
27423935,railway_station,walking,True,ok,46.61957021071456,66779,251633.25,665058.41,251679.7741795894,665061.3907784494
27423937,railway_station,walking,True,ok,13.862138116843193,66675,252699.62,664850.54,252686.8085431847,664845.2460933669
27424641,railway_station,walking,True,ok,35.62324201394544,69152,260833.65,664861.51,260867.3352174832,664849.9202849607
27424649,railway_station,walking,True,ok,19.32025497005049,69942,261602.19,665026.19,261608.90942355862,665044.30412706
28449296,railway_station,walking,True,ok,2.547776924634719,110586,259227.26,665008.06,259228.06110029548,665005.6414455611
28449298,railway_station,walking,True,ok,10.836869173850014,70554,258011.2,665293.6,258004.63139244769,665284.9807698537
28783707,railway_station,walking,True,ok,24.455371974432996,19181,256989.14,662394.37,256999.40479688797,662416.5668277746
28783722,railway_station,walking,True,ok,61.01735009580924,18629,256456.74,661913.43,256511.78819046123,661939.7513552018
28843197,railway_station,walking,True,ok,51.73830215921598,856,258954.53,655055.22,258904.39699294115,655068.0080222691
28843455,railway_station,walking,True,ok,8.363481992942017,50443,256385.69,659115.42,256378.16509996963,659119.070165829
28843468,railway_station,walking,True,ok,13.783482901632645,57054,255229.41,659940.64,255230.0368029039,659954.4092236172
29078146,railway_station,walking,True,ok,18.43002625233888,110287,256513.93,658004.89,256532.0020519061,658008.5048039455
29079310,railway_station,walking,True,ok,39.2880784295493,57413,258430.54,660598.31,258469.5913977036,660594.004022285
29081468,railway_station,walking,True,ok,9.28717343553435,110291,253669.15,657716.02,253676.1378427669,657722.1373232616
29108487,railway_station,walking,True,ok,9.481386860621724,110712,256771.16,662860.7,256780.45638290787,662862.5638566551
29108492,railway_station,walking,True,ok,4.651961900174911,24282,257550.8,662831.85,257554.6686967568,662834.4333960061
