source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
80,69,S02001922,S02001911,3.6361817617637775e-06,3.6361817617637775e-06,65
80,31,S02001922,S02001873,3.5506244498915416e-06,3.5506244498915416e-06,66
80,127,S02001922,S02001969,3.3831557034043507e-06,3.3831557034043507e-06,67
80,124,S02001922,S02001966,3.1600815094115858e-06,3.1600815094115858e-06,68
80,47,S02001922,S02001889,3.011010734517744e-06,3.011010734517744e-06,69
80,125,S02001922,S02001967,3.00719875737172e-06,3.00719875737172e-06,70
80,4,S02001922,S02001846,2.952290765989307e-06,2.952290765989307e-06,71
80,132,S02001922,S02001974,2.6373896224021757e-06,2.6373896224021757e-06,72
80,70,S02001922,S02001912,2.3153647290663063e-06,2.3153647290663063e-06,73
80,108,S02001922,S02001950,2.2735375383156235e-06,2.2735375383156235e-06,74
80,61,S02001922,S02001903,2.2100711193571165e-06,2.2100711193571165e-06,75
80,23,S02001922,S02001865,1.8977335643776016e-06,1.8977335643776016e-06,76
80,62,S02001922,S02001904,1.8000467821775652e-06,1.8000467821775652e-06,77
80,26,S02001922,S02001868,1.7197901822512554e-06,1.7197901822512554e-06,78
80,97,S02001922,S02001939,1.6885672540326275e-06,1.6885672540326275e-06,79
80,42,S02001922,S02001884,1.4949562174241e-06,1.4949562174241e-06,80
80,46,S02001922,S02001888,1.494196636350211e-06,1.494196636350211e-06,81
80,3,S02001922,S02001845,1.3930942642627524e-06,1.3930942642627524e-06,82
80,9,S02001922,S02001851,1.2306254183318374e-06,1.2306254183318374e-06,83
80,60,S02001922,S02001902,1.203909644504168e-06,1.203909644504168e-06,84
80,106,S02001922,S02001948,1.1606367715099897e-06,1.1606367715099897e-06,85
80,5,S02001922,S02001847,1.0594568688707151e-06,1.0594568688707151e-06,86
80,112,S02001922,S02001954,1.056329742892828e-06,1.056329742892828e-06,87
80,18,S02001922,S02001860,1.0343213554671002e-06,1.0343213554671002e-06,88
80,94,S02001922,S02001936,1.0213874612277678e-06,1.0213874612277678e-06,89
80,114,S02001922,S02001956,9.80851811390119e-07,9.80851811390119e-07,90
80,37,S02001922,S02001879,9.677659089985393e-07,9.677659089985393e-07,91
80,68,S02001922,S02001910,9.006800222554968e-07,9.006800222554968e-07,92
80,65,S02001922,S02001907,8.242481133784062e-07,8.242481133784062e-07,93
80,6,S02001922,S02001848,6.348038865088662e-07,6.348038865088662e-07,94
80,2,S02001922,S02001844,6.241814970842473e-07,6.241814970842473e-07,95
80,58,S02001922,S02001900,5.994951215641992e-07,5.994951215641992e-07,96
80,45,S02001922,S02001887,5.660033006224208e-07,5.660033006224208e-07,97
80,131,S02001922,S02001973,5.354752723933683e-07,5.354752723933683e-07,98
80,11,S02001922,S02001853,5.311513745679756e-07,5.311513745679756e-07,99
80,126,S02001922,S02001968,4.980376953541345e-07,4.980376953541345e-07,100
80,19,S02001922,S02001861,4.7275576816565805e-07,4.7275576816565805e-07,101
80,121,S02001922,S02001963,3.651928411933966e-07,3.651928411933966e-07,102
80,130,S02001922,S02001972,3.306303141471805e-07,3.306303141471805e-07,103
80,115,S02001922,S02001957,3.230343476848993e-07,3.230343476848993e-07,104
80,118,S02001922,S02001960,3.1499109634622545e-07,3.1499109634622545e-07,105
80,63,S02001922,S02001905,2.904789982962939e-07,2.904789982962939e-07,106
80,134,S02001922,S02001976,2.803841767615151e-07,2.803841767615151e-07,107
80,0,S02001922,S02001842,2.751132803384864e-07,2.751132803384864e-07,108
80,41,S02001922,S02001883,2.624063367225081e-07,2.624063367225081e-07,109
80,43,S02001922,S02001885,2.62332128711701e-07,2.62332128711701e-07,110
80,10,S02001922,S02001852,2.546698252753473e-07,2.546698252753473e-07,111
80,7,S02001922,S02001849,2.051947292515861e-07,2.051947292515861e-07,112
80,57,S02001922,S02001899,1.7094561531967826e-07,1.7094561531967826e-07,113
80,113,S02001922,S02001955,1.6430722649102565e-07,1.6430722649102565e-07,114
80,12,S02001922,S02001854,1.5860838472369656e-07,1.5860838472369656e-07,115
80,22,S02001922,S02001864,1.447633785286627e-07,1.447633785286627e-07,116
80,40,S02001922,S02001882,1.3532840577738584e-07,1.3532840577738584e-07,117
80,117,S02001922,S02001959,1.1801321393813247e-07,1.1801321393813247e-07,118
80,25,S02001922,S02001867,1.0848044291875361e-07,1.0848044291875361e-07,119
80,119,S02001922,S02001961,1.0110362953091045e-07,1.0110362953091045e-07,120
80,135,S02001922,S02001977,8.275825877867088e-08,8.275825877867088e-08,121
80,24,S02001922,S02001866,7.921541759146267e-08,7.921541759146267e-08,122
80,28,S02001922,S02001870,7.660990710948944e-08,7.660990710948944e-08,123
80,21,S02001922,S02001863,7.208265027271782e-08,7.208265027271782e-08,124
80,32,S02001922,S02001874,5.8161980485600854e-08,5.8161980485600854e-08,125
80,133,S02001922,S02001975,5.3939195806165e-08,5.3939195806165e-08,126
80,35,S02001922,S02001877,4.806456309706991e-08,4.806456309706991e-08,127
80,34,S02001922,S02001876,3.842118215696615e-08,3.842118215696615e-08,128
80,120,S02001922,S02001962,2.510630322475506e-08,2.510630322475506e-08,129
80,8,S02001922,S02001850,7.534363858638923e-09,7.534363858638923e-09,130
81,90,S02001923,S02001932,0.0005382747672204,0.0005382747672204,1
81,82,S02001923,S02001924,0.0003148736990058,0.0003148736990058,2
81,80,S02001923,S02001922,0.0002892865682774,0.0002892865682774,3
81,83,S02001923,S02001925,0.0002863037132804,0.0002863037132804,4
81,92,S02001923,S02001934,0.0002270906175572,0.0002270906175572,5
81,79,S02001923,S02001921,0.0001816853002967,0.0001816853002967,6
81,100,S02001923,S02001942,0.0001546574470791,0.0001546574470791,7
81,91,S02001923,S02001933,0.0001466826770843,0.0001466826770843,8
81,77,S02001923,S02001919,0.0001427751336695,0.0001427751336695,9
81,105,S02001923,S02001947,0.0001387302571274,0.0001387302571274,10
81,88,S02001923,S02001930,0.0001273481539356,0.0001273481539356,11
81,76,S02001923,S02001918,0.0001007954666549,0.0001007954666549,12
81,102,S02001923,S02001944,9.311844806902596e-05,9.311844806902596e-05,13
81,84,S02001923,S02001926,7.210289304794092e-05,7.210289304794092e-05,14
81,101,S02001923,S02001943,6.562987473863639e-05,6.562987473863639e-05,15
81,107,S02001923,S02001949,6.20744233428515e-05,6.20744233428515e-05,16
81,103,S02001923,S02001945,5.402533090104477e-05,5.402533090104477e-05,17
81,99,S02001923,S02001941,5.39960263059188e-05,5.39960263059188e-05,18
81,85,S02001923,S02001927,5.237996418615371e-05,5.237996418615371e-05,19
81,78,S02001923,S02001920,5.118605148516229e-05,5.118605148516229e-05,20
81,40,S02001923,S02001882,5.101689704384229e-05,5.101689704384229e-05,21
81,39,S02001923,S02001881,4.710164354526507e-05,4.710164354526507e-05,22
81,104,S02001923,S02001946,3.4670793042313146e-05,3.4670793042313146e-05,23
81,13,S02001923,S02001855,3.080675984159039e-05,3.080675984159039e-05,24
81,98,S02001923,S02001940,3.0287078830937475e-05,3.0287078830937475e-05,25
81,125,S02001923,S02001967,2.9413018902697158e-05,2.9413018902697158e-05,26
81,49,S02001923,S02001891,2.8813558205006893e-05,2.8813558205006893e-05,27
81,93,S02001923,S02001935,2.8116644424012704e-05,2.8116644424012704e-05,28
81,75,S02001923,S02001917,2.796081700921963e-05,2.796081700921963e-05,29
81,116,S02001923,S02001958,2.632612865889251e-05,2.632612865889251e-05,30
81,23,S02001923,S02001865,2.479747983469132e-05,2.479747983469132e-05,31
81,53,S02001923,S02001895,2.022260337190949e-05,2.022260337190949e-05,32
81,64,S02001923,S02001906,1.900677661429448e-05,1.900677661429448e-05,33
81,47,S02001923,S02001889,1.7760373120020492e-05,1.7760373120020492e-05,34
81,96,S02001923,S02001938,1.6237711452327753e-05,1.6237711452327753e-05,35
81,48,S02001923,S02001890,1.364627094226958e-05,1.364627094226958e-05,36
81,94,S02001923,S02001936,1.2839585914651496e-05,1.2839585914651496e-05,37
81,56,S02001923,S02001898,1.151679141635972e-05,1.151679141635972e-05,38
81,59,S02001923,S02001901,1.0015247296794284e-05,1.0015247296794284e-05,39
81,33,S02001923,S02001875,9.013377146811157e-06,9.013377146811157e-06,40
81,110,S02001923,S02001952,8.031934104137905e-06,8.031934104137905e-06,41
81,89,S02001923,S02001931,7.796886450483343e-06,7.796886450483343e-06,42
81,95,S02001923,S02001937,5.937629433424288e-06,5.937629433424288e-06,43
81,3,S02001923,S02001845,5.803662952309848e-06,5.803662952309848e-06,44
