site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone_x,GPCluster,DataZone_y,IntZone,pc_easting,pc_northing,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,capacity,parking,fee,access,operator,surface,park_and_ride
GP_70790,Morningside Medical Practice,gp,324497.31,671454.8,S02001616,324318.0,671916.0,confirmed,OSM_exact_building,70790.0,Morningside Medical Practice,9101.0,Morningside Medical Practice,2 Morningside Place,Edinburgh,,EH10 5ER,0131 452  8406,17J,N,S08000024,S37000012,S01008636,Edinburgh South East - North,S01008636,S02001616,324396.0,671448.0,,,,,,,,,,,,,,,,,,,,
GP_70841,St Leonard's Medical Centre,gp,326282.53,673109.83,S02001623,326328.0,673326.0,confirmed,OSM_exact_building,70841.0,St Leonard's Medical Centre,7961.0,St Leonard's Medical Centre,145 Pleasance,Edinburgh,,EH8 9RU,0131 668  4547,17J,N,S08000024,S37000012,S01008681,Edinburgh South East - South,S01008681,S02001623,326309.0,673022.0,,,,,,,,,,,,,,,,,,,,
GP_70893,Braefoot Medical Practice,gp,327220.0,670840.0,S02001609,326619.0,671290.0,confirmed,Postcode_centroid,70893.0,Braefoot Medical Practice,5693.0,Braefoot Medical Practice,Conan Doyle Medical Centre,4 Nether Liberton Lane,Edinburgh,EH16 5TY,0131 667  2240,2C,N,S08000024,S37000012,S01008587,Edinburgh South East - South,S01008587,S02001609,327220.0,670840.0,,,,,,,,,,,,,,,,,,,,
GP_70906,Sighthill Red Medical Practice,gp,319727.26,670811.76,S02001586,320106.0,671208.0,confirmed,OSM_exact_building,70906.0,Sighthill Red Medical Practice,3845.0,Sighthill Red Medical Practice,Sighthill Health Centre,Calder Road,Edinburgh,EH11 4AU,0131 322  6559,17J,N,S08000024,S37000012,S01008468,Edinburgh South West - Canal,S01008468,S02001586,319734.0,670791.0,,,,,,,,,,,,,,,,,,,,
GP_70911,Sighthill Green Medical Practice,gp,319727.26,670811.76,S02001586,320106.0,671208.0,confirmed,OSM_exact_building,70911.0,Sighthill Green Medical Practice,10074.0,Sighthill Green Medical Practice,Sighthill Health Centre,Calder Road,Edinburgh,EH11 4AU,0131 202  5888,17J,N,S08000024,S37000012,S01008468,Edinburgh South West - Canal,S01008468,S02001586,319734.0,670791.0,,,,,,,,,,,,,,,,,,,,
GP_70925,Riccarton General Practice,gp,317658.66,669310.99,S02001577,317812.0,667813.0,confirmed,OSM_exact_building,70925.0,Riccarton General Practice,9731.0,Riccarton General Practice,Heriot-Watt University Medical Centre,Riccarton,Edinburgh,EH14 4AS,0131 451  3010,17J,N,S08000024,S37000012,S01008425,Edinburgh South West - Pentlands,S01008425,S02001577,317538.0,669264.0,,,,,,,,,,,,,,,,,,,,
GP_70930,The Pentlands Medical Practice,gp,317966.68,667730.4,S02001578,318655.0,668420.0,confirmed,OSM_exact_building,70930.0,The Pentlands Medical Practice,14190.0,The Pentlands Medical Practice,Pentland Medical Centre,44 Pentland View,Currie,EH14 5QB,0131 449  2142,17J,N,S08000024,S37000012,S01008430,Edinburgh South West - Pentlands,S01008430,S02001578,317872.0,667724.0,,,,,,,,,,,,,,,,,,,,
GP_70963,Edinburgh Access Practice,gp,326309.22,673827.29,S02001622,325891.0,673440.0,confirmed,OSM_exact_building,70963.0,Edinburgh Access Practice,720.0,Edinburgh Access Practice,The Access Place,6 South Gray's Close,Edinburgh,EH1 1NA,0131 529  5015,2C,N,S08000024,S37000012,S01008679,Edinburgh South East - South,S01008679,S02001622,326139.0,673518.0,,,,,,,,,,,,,,,,,,,,
GP_70978,Wester Hailes Medical Practice,gp,319940.0,669532.0,S02001582,320148.0,669587.0,confirmed,Postcode_centroid,70978.0,Wester Hailes Medical Practice,7648.0,Wester Hailes Medical Practice,Wester Hailes Healthy Living Centre,30 Harvesters Way,Edinburgh,EH14 3JF,0131 453  9250,2C,N,S08000024,S37000012,S01008451,Edinburgh South West - Canal,S01008451,S02001582,319940.0,669532.0,,,,,,,,,,,,,,,,,,,,
GP_70982,The Victoria Practice,gp,326771.0,676029.0,S02001643,326919.0,676120.0,confirmed,Postcode_centroid,70982.0,The Victoria Practice,6122.0,The Victoria Practice,Leith Community Treatment Centre,12 Junction Place,Edinburgh,EH6 5JA,0131 465  2950,17J,N,S08000024,S37000012,S01008790,Edinburgh North East - Leith,S01008790,S02001643,326771.0,676029.0,,,,,,,,,,,,,,,,,,,,
