site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,IntZone,pc_easting,pc_northing
PH_2398,THE RED BAND CHEMICAL CO LTD,pharmacy,321652.0,674811.0,S02001664,321217.0,674803.0,confirmed,Postcode_centroid,2398,THE RED BAND CHEMICAL CO LTD,22 HILLHOUSE ROAD,EDINBURGH,NA,NA,EH4 3TH,0131 332 3602,S08000024,S37000012,S01008893,S01002193,S01008893,S02001664,321652.0,674811.0
PH_2399,BOOTS UK LTD,pharmacy,326153.31,676343.1,S02001649,325869.0,676115.0,confirmed,OSM_exact_building,2399,BOOTS UK LTD,123 FERRY ROAD,EDINBURGH,NA,NA,EH6 4ET,0131 554 1394,S08000024,S37000012,S01008820,S01002292,S01008820,S02001649,326156.0,676341.0
PH_2405,M FARREN LTD,pharmacy,324534.0,672068.0,S02001617,324371.0,672313.0,confirmed,Postcode_centroid,2405,M FARREN LTD,177 BRUNTSFIELD PLACE,EDINBURGH,NA,NA,EH104DG,0131 2292110,S08000024,S37000012,S01008641,S01001996,S01008641,S02001617,324534.0,672068.0
PH_2413,ASDA STORES LTD,pharmacy,331140.76,672311.83,S02001630,330866.0,672281.0,confirmed,OSM_exact_building,2413,ASDA STORES LTD,100 THE JEWEL,BRUNSTANE,EDINBURGH,NA,EH153AR,0131 454 4010,S08000024,S37000012,S01008717,S01002006,S01008717,S02001630,331185.0,672301.0
PH_2417,L ROWLAND AND COMPANY (RETAIL) LIMITED,pharmacy,319675.0,672936.0,S02001679,319696.0,672825.0,confirmed,Postcode_centroid,2417,L ROWLAND AND COMPANY (RETAIL) LIMITED,5-5A FEATHERHALL AVENUE,EDINBURGH,NA,NA,EH127TG,0131 334 4694,S08000024,S37000012,S01008974,S01002067,S01008974,S02001679,319675.0,672936.0
PH_2438,BOOTS UK LTD,pharmacy,322633.28,674628.75,S02001663,322985.0,674845.0,confirmed,OSM_exact_building,2438,BOOTS UK LTD,24 SOUTH GROATHILL AVENUE,CRAIGLEITH,EDINBURGH,NA,EH4 2LN,0131 332 6114,S08000024,S37000012,S01008891,S01002184,S01008891,S02001663,322627.0,674659.0
PH_2441,LLOYDS PHARMACY LTD,pharmacy,313088.0,677851.0,S02001685,313307.0,677900.0,confirmed,Postcode_centroid,2441,LLOYDS PHARMACY LTD,2 FERRYBURN,ROSEBERY AVENUE,SOUTH QUEENSFERRY,NA,EH309QS,0131 331 2579,S08000024,S37000012,S01009006,S01002330,S01009006,S02001685,313088.0,677851.0
PH_2442,OMNICARE PHARMACY LTD,pharmacy,324898.19,672947.71,S02001620,324934.0,673093.0,confirmed,OSM_exact_building,2442,OMNICARE PHARMACY LTD,2 HOME STREET,EDINBURGH,NA,NA,EH3 9LY,0131 229 7778,S08000024,S37000012,S01008665,S01002063,S01008665,S02001620,324899.0,672925.0
PH_2444,THE RED BAND CHEMICAL CO LTD,pharmacy,330282.0,672855.0,S02001633,330102.0,673005.0,confirmed,Postcode_centroid,2444,THE RED BAND CHEMICAL CO LTD,6 MILTON ROAD WEST,EDINBURGH,NA,NA,EH151LF,0131 669 1532,S08000024,S37000012,S01008735,S01002080,S01008735,S02001633,330282.0,672855.0
PH_2449,THE RED BAND CHEMICAL COMPANY LTD,pharmacy,328785.0,669506.0,S02001605,328884.0,669616.0,confirmed,Postcode_centroid,2449,THE RED BAND CHEMICAL COMPANY LTD,37 MOREDUN PARK ROAD,EDINBURGH,NA,NA,EH177ES,0131 664 2119,S08000024,S37000012,S01008572,S01001872,S01008572,S02001605,328785.0,669506.0
PH_2453,TINKLER LTD,pharmacy,325684.0,673155.0,S02001622,325891.0,673440.0,confirmed,Postcode_centroid,2453,TINKLER LTD,45 FORREST ROAD,EDINBURGH,NA,NA,EH1 2QP,0131 225 7770,S08000024,S37000012,S01008674,S01002106,S01008674,S02001622,325684.0,673155.0
PH_2455,BOOTS UK LTD,pharmacy,328178.0,674140.0,S02001626,328447.0,673804.0,confirmed,Postcode_centroid,2455,BOOTS UK LTD,29-31 PARSONS GREEN TERRACE,EDINBURGH,NA,NA,EH8 7AF,0131 661 3591,S08000024,S37000012,S01008694,S01002146,S01008694,S02001626,328178.0,674140.0
PH_2456,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,312372.0,674584.0,S02001684,312387.0,674380.0,confirmed,Postcode_centroid,2456,BESTWAY NATIONAL CHEMISTS LTD,38 MAIN STREET,KIRKLISTON,NA,NA,EH299AA,0131 333 3352,S08000024,S37000012,S01008999,S01002164,S01008999,S02001684,312372.0,674584.0
PH_2458,BOOTS UK LTD,pharmacy,326590.99,677073.54,S02001640,325871.0,677679.0,confirmed,OSM_exact_building,2458,BOOTS UK LTD,UNIT 22 OCEAN TERMINAL,OCEAN DRIVE,LEITH,EDINBURGH,EH6 6JJ,0131 554 6834,S08000024,S37000012,S01008769,S01002317,S01008769,S02001640,326487.0,676970.0
PH_2465,LLOYDS PHARMACY LTD,pharmacy,318681.0,673916.0,S02001676,318548.0,674324.0,confirmed,Postcode_centroid,2465,LLOYDS PHARMACY LTD,3 BUGHTLIN MARKET,EDINBURGH,NA,NA,EH128XP,0131 339 1188,S08000024,S37000012,S01008958,S01002138,S01008958,S02001676,318681.0,673916.0
PH_2470,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,327742.0,675754.0,S02001639,327570.0,675457.0,confirmed,Postcode_centroid,2470,BESTWAY NATIONAL CHEMISTS LTD,1 RESTALRIG ROAD,EDINBURGH,NA,NA,EH6 8BB,0131 554 2689,S08000024,S37000012,S01008765,S01002264,S01008765,S02001639,327742.0,675754.0
PH_2471,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,328979.0,674687.0,S02001636,329456.0,674459.0,confirmed,Postcode_centroid,2471,BESTWAY NATIONAL CHEMISTS LTD,100 CRAIGENTINNY ROAD,EDINBURGH,NA,NA,EH7 6RN,0131 661 2523,S08000024,S37000012,S01008750,S01002172,S01008750,S02001636,328979.0,674687.0
PH_2472,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,324231.0,676403.0,S02001667,323680.0,676408.0,confirmed,Postcode_centroid,2472,BESTWAY NATIONAL CHEMISTS LTD,114-116 GRANTON ROAD,EDINBURGH,NA,NA,EH5 3RE,0131 552 3569,S08000024,S37000012,S01008914,S01002297,S01008914,S02001667,324231.0,676403.0
PH_2473,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,327877.0,674697.0,S02001638,328203.0,675053.0,confirmed,Postcode_centroid,2473,BESTWAY NATIONAL CHEMISTS LTD,12A LOCHEND ROAD SOUTH,EDINBURGH,NA,NA,EH7 6BP,0131 467 4509,S08000024,S37000012,S01008757,S01002211,S01008757,S02001638,327877.0,674697.0
PH_2475,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,321387.0,671725.0,S02001587,321242.0,671793.0,confirmed,Postcode_centroid,2475,BESTWAY NATIONAL CHEMISTS LTD,4 STENHOUSE CROSS,EDINBURGH,NA,NA,EH113JY,0131 443 2222,S08000024,S37000012,S01008479,S01001965,S01008479,S02001587,321387.0,671725.0
PH_2476,BESTWAY NATIONAL CHEMISTS LTD,pharmacy,326630.0,671446.0,S02001609,326619.0,671290.0,confirmed,Postcode_centroid,2476,BESTWAY NATIONAL CHEMISTS LTD,55A MAYFIELD ROAD,EDINBURGH,NA,NA,EH9 3AA,0131 667 1992,S08000024,S37000012,S01008591,S01001940,S01008591,S02001609,326630.0,671446.0
PH_2478,GAM STUART LIMITED,pharmacy,324539.0,671369.0,S02001615,324829.0,671189.0,confirmed,Postcode_centroid,2478,GAM STUART LIMITED,153 MORNINGSIDE ROAD,EDINBURGH,NA,NA,EH104AX,0131 447 2041,S08000024,S37000012,S01008630,S01001939,S01008630,S02001615,324539.0,671369.0
PH_2480,LUNN PHARMACY LTD,pharmacy,325426.0,672403.0,S02001614,325258.0,672241.0,confirmed,Postcode_centroid,2480,LUNN PHARMACY LTD,26 MARCHMONT ROAD,EDINBURGH,NA,NA,EH9 1HZ,0131 228 6677,S08000024,S37000012,S01008621,S01002029,S01008621,S02001614,325426.0,672403.0
PH_2481,RIGHT MEDICINE PHARMACY LIMITED,pharmacy,325548.12,671973.81,S02001614,325258.0,672241.0,confirmed,OSM_exact_building,2481,RIGHT MEDICINE PHARMACY LIMITED,142 MARCHMONT ROAD,EDINBURGH,NA,NA,EH9 1AQ,0131 447 2198,S08000024,S37000012,S01008617,S01001987,S01008617,S02001614,325472.0,671983.0
PH_2490,D. SHANNON STEWART LTD,pharmacy,327815.0,668291.0,S02001602,327534.0,668483.0,confirmed,Postcode_centroid,2490,D. SHANNON STEWART LTD,1 GRACEMOUNT DRIVE,EDINBURGH,NA,NA,EH166RR,0131 664 2249,S08000024,S37000012,S01008557,S01001823,S01008557,S02001602,327815.0,668291.0
PH_2495,PRO-HEALTH PHARMACY LTD,pharmacy,326288.0,672739.0,S02001621,326258.0,672722.0,confirmed,Postcode_centroid,2495,PRO-HEALTH PHARMACY LTD,46-48 CLERK STREET,EDINBURGH,NA,NA,EH8 9JB,0131 667 2368,S08000024,S37000012,S01008671,S01002060,S01008671,S02001621,326288.0,672739.0
PH_2496,OMNICARE PHARMACY LTD,pharmacy,326364.3,672087.71,S02001612,326243.0,671775.0,confirmed,OSM_exact_building,2496,OMNICARE PHARMACY LTD,160 CAUSEWAYSIDE,EDINBURGH,NA,NA,EH9 1PR,0131 667 2151,S08000024,S37000012,S01008605,S01001983,S01008605,S02001612,326332.0,672118.0
PH_2497,TINKLER LTD,pharmacy,326103.0,673706.0,S02001622,325891.0,673440.0,confirmed,Postcode_centroid,2497,TINKLER LTD,67 HIGH STREET,EDINBURGH,NA,NA,EH1 1SR,0131 556 1971,S08000024,S37000012,S01008677,S01002131,S01008677,S02001622,326103.0,673706.0
PH_2500,APPLE HEALTHCARE EDINBURGH LTD,pharmacy,324029.0,673023.0,S02001619,323944.0,672854.0,confirmed,Postcode_centroid,2500,APPLE HEALTHCARE EDINBURGH LTD,65 DALRY ROAD,EDINBURGH,NA,NA,EH112BZ,0131 337 4838,S08000024,S37000012,S01008656,S01002073,S01008656,S02001619,324029.0,673023.0
PH_2502,LLOYDS PHARMACY LTD,pharmacy,318452.0,667882.0,S02001578,318655.0,668420.0,confirmed,Postcode_centroid,2502,LLOYDS PHARMACY LTD,162 LANARK ROAD WEST,CURRIE,EDINBURGH,NA,EH145NY,0131 449 3417,S08000024,S37000012,S01008430,S01001806,S01008430,S02001578,318452.0,667882.0
PH_2503,LLOYDS PHARMACY LTD,pharmacy,319697.0,670677.0,S02001586,320106.0,671208.0,confirmed,Postcode_centroid,2503,LLOYDS PHARMACY LTD,483A CALDER ROAD,EDINBURGH,NA,NA,EH114AW,0131 442 2894,S08000024,S37000012,S01008468,S01001926,S01008468,S02001586,319697.0,670677.0
PH_2507,OMNICARE PHARMACY LTD,pharmacy,327929.46,670444.62,S02001608,327821.0,670277.0,confirmed,OSM_exact_building,2507,OMNICARE PHARMACY LTD,102-104 WALTER SCOTT AVENUE,EDINBURGH,NA,NA,EH165RL,0131 664 2363,S08000024,S37000012,S01008585,S01001903,S01008585,S02001608,327978.0,670485.0
PH_2508,OMNICARE PHARMACY LTD,pharmacy,319126.08,674129.42,S02001675,319416.0,674411.0,confirmed,OSM_exact_building,2508,OMNICARE PHARMACY LTD,38 DUART CRESCENT,EDINBURGH,NA,NA,EH4 7JP,0131 339  6525,S08000024,S37000012,S01008953,S01002147,S01008953,S02001675,319144.0,674135.0
PH_2509,OMNICARE PHARMACY LTD,pharmacy,323507.86,672459.12,S02001591,323597.0,672729.0,confirmed,OSM_exact_building,2509,OMNICARE PHARMACY LTD,1 ARDMILLAN TERRACE,EDINBURGH,NA,NA,EH112JN,0131 337 1604,S08000024,S37000012,S01008498,S01002033,S01008498,S02001591,323511.0,672422.0
PH_2510,OMNICARE PHARMACY LTD,pharmacy,319194.67,674876.42,S02001675,319416.0,674411.0,confirmed,OSM_exact_building,2510,OMNICARE PHARMACY LTD,UNIT 4,509 QUEENSFERRY ROAD,EDINBURGH,NA,EH4 7QD,0131 336 2861,S08000024,S37000012,S01008948,S01002207,S01008948,S02001675,319252.0,674902.0
PH_2511,GAM STUART LTD,pharmacy,322775.0,670776.0,S02001593,322641.0,670581.0,confirmed,Postcode_centroid,2511,GAM STUART LTD,2 CRAIGLOCKHART ROAD NORTH,EDINBURGH,NA,NA,EH141BU,0131 455 7168,S08000024,S37000012,S01008510,S01001915,S01008510,S02001593,322775.0,670776.0
PH_2514,WEB PHARMACY,pharmacy,323027.0,673167.0,S02001661,321844.0,672727.0,confirmed,Postcode_centroid,2514,WEB PHARMACY,9-11 ROSEBURN TERRACE,EDINBURGH,NA,NA,EH125NG,0131 337 4084,S08000024,S37000012,S01008875,S01002075,S01008875,S02001661,323027.0,673167.0
PH_2516,MBM SHELFCO (57) LTD,pharmacy,318573.0,675080.0,S02001674,318381.0,675093.0,confirmed,Postcode_centroid,2516,MBM SHELFCO (57) LTD,195 WHITEHOUSE ROAD,BARNTON,EDINBURGH,NA,EH4 6BU,0131 339 3449,S08000024,S37000012,S01008946,S01002224,S01008946,S02001674,318573.0,675080.0
