source_node_index,target_node_index,source_iz_code,target_iz_code,multimodal_distance_km,shortest_mode,neighbour_rank,weight
41,43,S02001617,S02001619,1.2267834632809178,walking,4,0.4262013552966099
41,44,S02001617,S02001620,1.354546749654949,walking,5,0.38997887839034195
42,43,S02001618,S02001619,0.7824919895816571,walking,1,0.5804347328540388
42,15,S02001618,S02001591,0.8236847242174197,walking,2,0.5640487740483517
42,16,S02001618,S02001592,0.9577755135713397,walking,3,0.5138454871413392
42,14,S02001618,S02001590,0.9980174449827027,walking,4,0.4996695408418188
42,41,S02001618,S02001617,1.1076320687103036,road,5,0.4630080071886659
43,42,S02001619,S02001618,0.7824919895816572,walking,1,0.5804347328540388
43,15,S02001619,S02001591,0.8664446827347326,bicycle,2,0.5475285344081182
43,84,S02001619,S02001660,0.8968542045042426,bicycle,3,0.5360751127883926
43,41,S02001619,S02001617,1.2267834632809176,walking,4,0.4262013552966099
43,40,S02001619,S02001616,1.3141181408517408,bicycle,5,0.4010948789916002
44,38,S02001620,S02001614,1.188077478713667,bicycle,1,0.4378252157749205
44,46,S02001620,S02001622,1.2081829390335697,walking,2,0.4317482803900009
44,84,S02001620,S02001660,1.2217790950324892,walking,3,0.4276866790391484
44,41,S02001620,S02001617,1.354546749654949,bicycle,4,0.38997887839034195
44,43,S02001620,S02001619,1.5344384765684662,walking,5,0.3441350846888882
45,35,S02001621,S02001611,0.6622007538123492,road,1,0.6310608000253362
45,47,S02001621,S02001623,0.78985101960436,walking,2,0.577472870262029
45,37,S02001621,S02001613,0.8118609037376621,bicycle,3,0.5687042273766809
45,46,S02001621,S02001622,0.9703267101466141,road,4,0.5093814713373236
45,36,S02001621,S02001612,1.442443522281081,bicycle,5,0.3668627956811328
46,47,S02001622,S02001623,0.6626209096476219,walking,1,0.6308765024811505
46,45,S02001622,S02001621,0.9719664800157627,road,2,0.5088011348160661
46,44,S02001622,S02001620,1.1926065147708065,road,3,0.43644887998377524
46,37,S02001622,S02001613,1.518225253250475,walking,4,0.34803584708490737
46,35,S02001622,S02001611,1.5592571303706515,road,5,0.338248446304657
47,46,S02001623,S02001622,0.6626209096476218,walking,1,0.6308765024811505
47,45,S02001623,S02001621,0.78985101960436,bicycle,2,0.577472870262029
47,35,S02001623,S02001611,1.3674672707362405,bicycle,3,0.38649170541777195
47,37,S02001623,S02001613,1.4340734943957563,bicycle,4,0.3690036941886125
47,48,S02001623,S02001624,1.601744036526642,walking,5,0.32840393092724873
48,49,S02001624,S02001625,0.7582097279132036,walking,1,0.5903160457313196
48,71,S02001624,S02001647,1.175723433517778,road,2,0.44160161239412965
48,69,S02001624,S02001645,1.1943437157987933,walking,3,0.43592210806862136
48,70,S02001624,S02001646,1.5818359121162726,walking,4,0.3329805926753293
48,68,S02001624,S02001644,1.5845162225479321,walking,5,0.3323607223634129
49,48,S02001625,S02001624,0.7582097279132034,walking,1,0.5903160457313196
49,69,S02001625,S02001645,0.9852076057307219,bicycle,2,0.5041390837006732
49,61,S02001625,S02001637,1.1284623617481417,walking,3,0.4563515284532395
49,71,S02001625,S02001647,1.1734796251951793,road,4,0.4422909889955996
49,50,S02001625,S02001626,1.1828715666543899,road,5,0.4394126110284225
50,59,S02001626,S02001635,0.7273509857158587,road,1,0.6031166618807503
50,58,S02001626,S02001634,1.0618290766849625,bicycle,2,0.4779881649572723
50,49,S02001626,S02001625,1.1828715666543905,road,3,0.4394126110284223
50,61,S02001626,S02001637,1.1961521922964964,road,4,0.43537439871419004
50,48,S02001626,S02001624,1.6308025113717666,bicycle,5,0.3218363820716397
51,34,S02001627,S02001610,1.4500699161161374,road,1,0.36492292171758567
51,52,S02001627,S02001628,1.762930440708122,bicycle,2,0.29359161149216007
51,32,S02001627,S02001608,1.7933959849542478,bicycle,3,0.28743894950096927
51,29,S02001627,S02001605,2.3287481979654516,walking,4,0.19811364351194685
51,53,S02001627,S02001629,2.7220890830074693,bicycle,5,0.15071573685350165
52,53,S02001628,S02001629,1.5874893188711228,bicycle,1,0.33167448982247194
52,51,S02001628,S02001627,1.7629304407081223,bicycle,2,0.29359161149215995
52,54,S02001628,S02001630,1.7740501296572746,walking,3,0.29133082198985666
52,57,S02001628,S02001633,1.9907864438582943,bicycle,4,0.25058227092079827
52,59,S02001628,S02001635,2.535556674072962,bicycle,5,0.17158355505921327
53,54,S02001629,S02001630,0.8975460614513212,walking,1,0.5358173389230217
53,57,S02001629,S02001633,1.1179225716030403,bicycle,2,0.4597075510625348
53,55,S02001629,S02001631,1.4622775697910757,walking,3,0.36183907222018735
53,52,S02001629,S02001628,1.5874893188711228,walking,4,0.33167448982247194
53,56,S02001629,S02001632,1.7978527929888253,bicycle,5,0.2865497518675792
54,53,S02001630,S02001629,0.8975460614513214,walking,1,0.5358173389230217
54,55,S02001630,S02001631,1.51203657998301,bicycle,2,0.3495364212509852
54,57,S02001630,S02001633,1.7362634807733652,walking,3,0.2990851266372826
54,52,S02001630,S02001628,1.7740501296572748,bicycle,4,0.29133082198985666
54,56,S02001630,S02001632,2.356649627502274,walking,5,0.19430792136242617
55,53,S02001631,S02001629,1.4622775697910755,walking,1,0.36183907222018746
55,54,S02001631,S02001630,1.5120365799830096,bicycle,2,0.34953642125098533
55,57,S02001631,S02001633,2.0601797221779283,walking,3,0.23878081015026736
55,56,S02001631,S02001632,2.114796740733056,bicycle,4,0.22988449827497845
55,52,S02001631,S02001628,2.978275570392743,bicycle,5,0.12612810812372804
