source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
68,69,S02001910,S02001911,1,1067.6808884264883
68,70,S02001910,S02001912,1,241.6816543277756
69,70,S02001911,S02001912,1,1006.5730233677351
70,71,S02001912,S02001913,1,545.3790460118585
70,72,S02001912,S02001914,1,592.9152089636688
70,87,S02001912,S02001929,1,1777.58679754541
71,72,S02001913,S02001914,1,1159.6207990731907
71,74,S02001913,S02001916,1,1270.3446219768425
71,86,S02001913,S02001928,1,407.5319581058778
71,87,S02001913,S02001929,1,1378.9472659014275
72,73,S02001914,S02001915,1,1703.6773394829402
72,74,S02001914,S02001916,1,1383.686284177025
73,74,S02001915,S02001916,1,1697.1285158828439
74,75,S02001916,S02001917,1,2634.681179916425
74,76,S02001916,S02001918,1,782.8921108685689
74,84,S02001916,S02001926,1,113.69992655197896
74,86,S02001916,S02001928,1,716.4229216275793
75,76,S02001917,S02001918,1,2579.360617246971
75,78,S02001917,S02001920,1,1407.677626763637
75,84,S02001917,S02001926,1,1091.1899703536965
76,77,S02001918,S02001919,1,1405.5357261034426
76,78,S02001918,S02001920,1,494.388323968598
77,78,S02001919,S02001920,1,1920.3680892946659
77,80,S02001919,S02001922,1,2842.4832983483607
78,79,S02001920,S02001921,1,433.9713946907726
78,80,S02001920,S02001922,1,1336.3527518818833
78,84,S02001920,S02001926,1,293.86869629784934
79,80,S02001921,S02001922,1,1748.1526343535359
79,81,S02001921,S02001923,1,175.02163818873373
79,82,S02001921,S02001924,1,800.5093756838548
79,83,S02001921,S02001925,1,2329.3698908602532
79,84,S02001921,S02001926,1,149.57728935344468
80,81,S02001922,S02001923,1,3020.310676136205
81,82,S02001923,S02001924,1,752.9811830277929
81,100,S02001923,S02001942,1,1352.06890242748
81,102,S02001923,S02001944,1,239.6378660176177
82,83,S02001924,S02001925,1,2171.318111736088
82,90,S02001924,S02001932,1,709.3140094891517
82,96,S02001924,S02001938,1,2284.188847861313
82,98,S02001924,S02001940,1,1411.4361964141503
82,100,S02001924,S02001942,1,1766.3717907085672
83,84,S02001925,S02001926,1,3109.17134167673
83,90,S02001925,S02001932,1,665.4656744070724
84,85,S02001926,S02001927,1,1013.6686833564839
84,86,S02001926,S02001928,1,1029.003818559653
84,90,S02001926,S02001932,1,646.1654132662632
85,86,S02001927,S02001928,1,1109.3744665583147
85,87,S02001927,S02001929,1,429.52844842967784
85,88,S02001927,S02001930,1,1766.1537679620428
85,90,S02001927,S02001932,1,934.6013123899762
86,87,S02001928,S02001929,1,1192.7053908135388
87,88,S02001929,S02001930,1,436.2646024263837
87,89,S02001929,S02001931,1,626.5637194395467
88,89,S02001930,S02001931,1,850.3902048900459
88,90,S02001930,S02001932,1,337.89873446748686
89,90,S02001931,S02001932,1,2124.6617359610727
90,91,S02001932,S02001933,1,1149.7407875940294
90,92,S02001932,S02001934,1,1818.7587737723056
90,96,S02001932,S02001938,1,327.3589824667862
91,92,S02001933,S02001934,1,3069.3755444075023
91,93,S02001933,S02001935,1,255.80019229813493
91,95,S02001933,S02001937,1,548.5637465241412
91,96,S02001933,S02001938,1,2098.8366656322632
92,93,S02001934,S02001935,1,1685.064103628207
93,94,S02001935,S02001936,1,2681.684396520235
93,95,S02001935,S02001937,1,467.31674235066515
94,95,S02001936,S02001937,1,326.7676192779591
94,111,S02001936,S02001953,1,2241.744112452504
95,96,S02001937,S02001938,1,876.7542577823726
95,97,S02001937,S02001939,1,404.2105160425547
95,110,S02001937,S02001952,1,1101.3666803419626
95,111,S02001937,S02001953,1,1033.900410057534
96,97,S02001938,S02001939,1,2732.8440178212295
96,98,S02001938,S02001940,1,533.568066134935
97,98,S02001939,S02001940,1,1203.8625096303622
97,109,S02001939,S02001951,1,1030.8073332315764
97,110,S02001939,S02001952,1,215.92238121643993
98,99,S02001940,S02001941,1,1341.2757315472254
98,100,S02001940,S02001942,1,1222.145653476189
98,109,S02001940,S02001951,1,359.5965221360735
99,100,S02001941,S02001942,1,2473.034470818679
99,107,S02001941,S02001949,1,1172.24596287393
99,108,S02001941,S02001950,1,1057.4614338042386
99,109,S02001941,S02001951,1,1772.4729394432238
100,101,S02001942,S02001943,1,3175.365746605847
100,102,S02001942,S02001944,1,449.67203815854896
100,105,S02001942,S02001947,1,694.6762948971752
